case,budget_per_block,replication,method,truth,error
4,150,8,learned_occupancy,1.1762926826312994,-0.07059959093032853
4,150,8,learned_mean,1.1762926826312994,-0.07163290774187403
4,150,8,tis,1.1762926826312994,-0.06762619797731051
4,150,8,tis_anchored,1.1762926826312994,-0.06049988208074297
4,150,8,occ_plus_uniform,1.1762926826312994,-0.07259282551639723
4,150,8,occ_plus_mean,1.1762926826312994,-0.08219405190543161
4,150,8,oracle_tail,1.1762926826312994,-0.07128936884541215
4,150,8,complete_rollout,1.1762926826312994,-0.04087601596463264
4,150,9,uniform,1.1762926826312994,0.009421686169788446
4,150,9,learned_occupancy,1.1762926826312994,0.026521060599964397
4,150,9,learned_mean,1.1762926826312994,0.02996228135626211
4,150,9,tis,1.1762926826312994,0.01326681417548703
4,150,9,tis_anchored,1.1762926826312994,0.023290281802844426
4,150,9,occ_plus_uniform,1.1762926826312994,0.024748771968412298
4,150,9,occ_plus_mean,1.1762926826312994,0.021096893928663762
4,150,9,oracle_tail,1.1762926826312994,0.024378855596916216
4,150,9,complete_rollout,1.1762926826312994,0.01120731736870062
4,150,10,uniform,1.1762926826312994,-0.01800772760652758
4,150,10,learned_occupancy,1.1762926826312994,-0.007564527279876332
4,150,10,learned_mean,1.1762926826312994,0.005605578866519911
4,150,10,tis,1.1762926826312994,0.00014655272506214345
4,150,10,tis_anchored,1.1762926826312994,-0.0045390632630597505
4,150,10,occ_plus_uniform,1.1762926826312994,-0.016943625722231292
4,150,10,occ_plus_mean,1.1762926826312994,-0.0034273562993891726
4,150,10,oracle_tail,1.1762926826312994,-0.010141120286209615
4,150,10,complete_rollout,1.1762926826312994,-0.02134476596463264
4,150,11,uniform,1.1762926826312994,-0.030163129556315615
4,150,11,learned_occupancy,1.1762926826312994,-0.022978974036997002
4,150,11,learned_mean,1.1762926826312994,-0.036378798620438024
4,150,11,tis,1.1762926826312994,-0.050930137535672104
4,150,11,tis_anchored,1.1762926826312994,-0.030972842645476506
4,150,11,occ_plus_uniform,1.1762926826312994,-0.017900371315495267
4,150,11,occ_plus_mean,1.1762926826312994,-0.01935871772083053
4,150,11,oracle_tail,1.1762926826312994,-0.02202386323683969
4,150,11,complete_rollout,1.1762926826312994,-0.0538968492979659
4,150,12,uniform,1.1762926826312994,0.010158691814245113
4,150,12,learned_occupancy,1.1762926826312994,0.0050671532051767
4,150,12,learned_mean,1.1762926826312994,0.0179623157992983
4,150,12,tis,1.1762926826312994,0.010432430078840316
4,150,12,tis_anchored,1.1762926826312994,0.025862230429062105
4,150,12,occ_plus_uniform,1.1762926826312994,-0.00497044239540867
4,150,12,occ_plus_mean,1.1762926826312994,0.005621542337249208
4,150,12,oracle_tail,1.1762926826312994,0.0026301379186806084
4,150,12,complete_rollout,1.1762926826312994,0.01771773403536736
4,150,13,uniform,1.1762926826312994,0.02561660308904279
4,150,13,learned_occupancy,1.1762926826312994,0.03006511442253057
4,150,13,learned_mean,1.1762926826312994,0.031521940998889164
4,150,13,tis,1.1762926826312994,0.033789380395024216
4,150,13,tis_anchored,1.1762926826312994,0.026772884781458783
4,150,13,occ_plus_uniform,1.1762926826312994,0.04601691184427259
4,150,13,occ_plus_mean,1.1762926826312994,0.026381747812887157
4,150,13,oracle_tail,1.1762926826312994,0.01977061144521919
4,150,13,complete_rollout,1.1762926826312994,0.03073856736870062
4,150,14,uniform,1.1762926826312994,-0.020482473852086125
4,150,14,learned_occupancy,1.1762926826312994,-0.037588167338840295
4,150,14,learned_mean,1.1762926826312994,-0.027858096590317682
4,150,14,tis,1.1762926826312994,0.007671311856766838
4,150,14,tis_anchored,1.1762926826312994,-0.0244093815424975
4,150,14,occ_plus_uniform,1.1762926826312994,-0.04070947134227265
4,150,14,occ_plus_mean,1.1762926826312994,-0.0342223801101873
4,150,14,oracle_tail,1.1762926826312994,-0.010247152604570209
4,150,14,complete_rollout,1.1762926826312994,-0.0018135159646326393
4,150,15,uniform,1.1762926826312994,-0.00542374109829713
4,150,15,learned_occupancy,1.1762926826312994,-0.008413864172758911
4,150,15,learned_mean,1.1762926826312994,0.005171254102175338
4,150,15,tis,1.1762926826312994,0.02153632562224428
4,150,15,tis_anchored,1.1762926826312994,0.012611962794963905
4,150,15,occ_plus_uniform,1.1762926826312994,-0.0022423133457374345
4,150,15,occ_plus_mean,1.1762926826312994,-0.002078589685855947
4,150,15,oracle_tail,1.1762926826312994,0.02095786588503401
