t,budget_per_kernel,replication,method,truth,error
0.0,25,66,tis_anchored,0.3,0.023232323232323215
0.0,25,66,oracle_tail,0.3,0.006666666666666654
0.0,25,66,complete_rollout,0.3,-0.033333333333333326
0.0,25,67,uniform,0.3,0.006666666666666654
0.0,25,67,learned_occupancy,0.3,-0.003703703703703709
0.0,25,67,learned_mean,0.3,-0.003703703703703709
0.0,25,67,tis,0.3,0.033333333333333326
0.0,25,67,tis_anchored,0.3,-0.01428571428571429
0.0,25,67,oracle_tail,0.3,0.006666666666666654
0.0,25,67,complete_rollout,0.3,0.006666666666666654
0.0,25,68,uniform,0.3,0.006666666666666654
0.0,25,68,learned_occupancy,0.3,-0.003703703703703709
0.0,25,68,learned_mean,0.3,-0.003703703703703709
0.0,25,68,tis,0.3,0.027380952380952395
0.0,25,68,tis_anchored,0.3,0.023232323232323215
0.0,25,68,oracle_tail,0.3,0.006666666666666654
0.0,25,68,complete_rollout,0.3,0.006666666666666654
0.0,25,69,uniform,0.3,0.020000000000000018
0.0,25,69,learned_occupancy,0.3,-0.003703703703703709
0.0,25,69,learned_mean,0.3,-0.003703703703703709
0.0,25,69,tis,0.3,-0.04999999999999999
0.0,25,69,tis_anchored,0.3,-0.022222222222222254
0.0,25,69,oracle_tail,0.3,0.020000000000000018
0.0,25,69,complete_rollout,0.3,0.006666666666666654
0.0,25,70,uniform,0.3,-0.033333333333333326
0.0,25,70,learned_occupancy,0.3,-0.040740740740740744
0.0,25,70,learned_mean,0.3,-0.040740740740740744
0.0,25,70,tis,0.3,-0.040740740740740744
0.0,25,70,tis_anchored,0.3,-0.040740740740740744
0.0,25,70,oracle_tail,0.3,-0.033333333333333326
0.0,25,70,complete_rollout,0.3,-0.006666666666666654
0.0,25,71,uniform,0.3,-0.006666666666666654
0.0,25,71,learned_occupancy,0.3,0.033333333333333326
0.0,25,71,learned_mean,0.3,0.033333333333333326
0.0,25,71,tis,0.3,0.013725490196078438
0.0,25,71,tis_anchored,0.3,0.033333333333333326
0.0,25,71,oracle_tail,0.3,-0.006666666666666654
0.0,25,71,complete_rollout,0.3,0.006666666666666654
0.0,25,72,uniform,0.3,0.006666666666666654
0.0,25,72,learned_occupancy,0.3,-0.040740740740740744
